seconds 	point x 	point y 	point z 	position x	position y	position z	pupil diameter	flag    	
1.22    	0.24    	0.14    	10.57   	0.02    	1.96    	8.76    	0.00    	-       	
1.25    	0.28    	0.14    	10.73   	0.02    	1.96    	8.76    	0.00    	-       	
1.29    	0.36    	0.14    	11.01   	0.02    	1.97    	8.76    	0.00    	-       	
1.32    	0.49    	0.15    	11.42   	0.03    	1.98    	8.76    	0.00    	-       	
1.35    	0.66    	0.17    	11.94   	0.03    	1.99    	8.76    	0.00    	-       	
1.39    	6.06    	0.61    	26.61   	0.03    	2.00    	8.76    	3.46    	-       	
1.42    	5.70    	0.61    	26.54   	0.04    	2.01    	8.75    	3.44    	-       	
1.45    	3.91    	0.47    	23.92   	0.04    	2.02    	8.75    	3.43    	-       	
1.49    	5.50    	0.61    	27.20   	0.04    	2.02    	8.75    	3.35    	-       	
1.52    	5.97    	2.85    	29.53   	0.04    	2.03    	8.74    	3.28    	-       	
1.55    	5.71    	3.26    	29.57   	0.05    	2.03    	8.74    	3.33    	-       	
1.59    	5.83    	3.78    	29.56   	0.05    	2.03    	8.74    	0.00    	-       	
1.62    	5.90    	4.09    	29.54   	0.05    	2.03    	8.73    	0.00    	-       	
1.65    	5.91    	4.37    	29.54   	0.05    	2.04    	8.73    	0.00    	-       	
1.69    	5.85    	4.58    	29.55   	0.05    	2.04    	8.73    	0.00    	-       	
1.72    	4.70    	4.91    	29.73   	0.05    	2.04    	8.73    	3.17    	-       	
1.76    	5.18    	4.41    	29.65   	0.04    	2.04    	8.73    	3.23    	-       	
1.79    	5.89    	3.45    	29.55   	0.04    	2.03    	8.73    	3.31    	-       	
1.82    	5.57    	0.62    	28.30   	0.04    	2.02    	8.73    	3.24    	-       	
1.85    	1.13    	0.23    	12.93   	0.04    	2.01    	8.74    	3.23    	-       	
1.89    	0.55    	0.15    	11.22   	0.04    	2.00    	8.74    	3.19    	-       	
1.92    	0.44    	0.13    	10.12   	0.04    	1.99    	8.74    	3.17    	-       	
1.95    	0.49    	0.12    	9.83    	0.04    	1.98    	8.74    	3.26    	-       	
1.97    	0.41    	0.12    	9.80    	0.04    	1.97    	8.74    	3.19    	-       	
2.00    	0.42    	0.13    	9.87    	0.04    	1.96    	8.74    	3.33    	-       	
2.02    	0.45    	0.13    	9.96    	0.03    	1.96    	8.74    	3.18    	-       	
2.04    	0.47    	0.13    	10.06   	0.03    	1.96    	8.74    	3.22    	-       	
2.06    	0.49    	0.13    	10.17   	0.03    	1.96    	8.75    	3.29    	-       	
2.09    	0.46    	0.13    	10.19   	0.03    	1.96    	8.75    	3.27    	-       	
2.11    	0.49    	0.13    	10.22   	0.03    	1.95    	8.74    	3.37    	-       	
2.13    	0.48    	0.13    	10.25   	0.03    	1.95    	8.75    	3.34    	-       	
2.15    	0.46    	0.13    	10.29   	0.03    	1.95    	8.75    	3.31    	-       	
2.18    	0.32    	0.13    	10.40   	0.02    	1.95    	8.75    	3.39    	-       	
2.20    	-0.15   	0.13    	10.43   	0.02    	1.95    	8.75    	3.53    	-       	
2.22    	-0.57   	0.13    	10.37   	0.02    	1.95    	8.75    	3.56    	-       	
2.24    	-0.62   	0.13    	10.44   	0.01    	1.95    	8.75    	3.59    	-       	
2.26    	-0.71   	0.13    	10.45   	0.01    	1.95    	8.75    	3.69    	-       	
2.29    	-0.65   	0.13    	10.44   	0.01    	1.95    	8.75    	3.57    	-       	
2.31    	-0.61   	0.13    	10.43   	0.00    	1.95    	8.75    	3.53    	-       	
2.33    	-0.56   	0.13    	10.42   	-0.00   	1.95    	8.75    	3.49    	-       	
2.35    	-0.54   	0.13    	10.42   	-0.00   	1.95    	8.76    	3.38    	-       	
2.38    	-0.46   	0.13    	10.38   	-0.00   	1.95    	8.76    	3.29    	-       	
2.40    	-0.45   	0.13    	10.37   	-0.01   	1.95    	8.76    	3.25    	-       	
2.42    	-0.43   	0.13    	10.38   	-0.01   	1.95    	8.76    	3.27    	-       	
2.44    	-0.43   	0.13    	10.40   	-0.01   	1.95    	8.76    	3.19    	-       	
2.46    	-0.65   	0.13    	10.37   	-0.01   	1.95    	8.76    	3.18    	-       	
2.49    	-0.70   	0.13    	10.31   	-0.01   	1.95    	8.76    	3.27    	-       	
2.51    	-0.68   	0.13    	10.27   	-0.01   	1.95    	8.76    	3.19    	-       	
2.53    	-0.69   	0.13    	10.29   	-0.01   	1.95    	8.76    	3.20    	-       	
2.55    	-0.70   	0.13    	10.30   	-0.01   	1.95    	8.76    	3.14    	-       	
2.57    	-0.69   	0.13    	10.28   	-0.01   	1.95    	8.76    	3.21    	-       	
2.60    	-0.59   	0.12    	10.22   	-0.01   	1.95    	8.76    	3.30    	-       	
2.62    	-0.60   	0.12    	10.23   	-0.01   	1.95    	8.76    	0.00    	-       	
2.64    	-0.60   	0.12    	10.24   	-0.01   	1.95    	8.76    	0.00    	-       	
2.66    	-0.60   	0.12    	10.24   	-0.01   	1.95    	8.76    	0.00    	-       	
2.69    	-0.59   	0.13    	10.25   	-0.01   	1.95    	8.76    	0.00    	-       	
2.71    	-0.59   	0.13    	10.25   	-0.01   	1.95    	8.76    	0.00    	-       	
2.74    	-0.59   	0.13    	10.25   	-0.01   	1.95    	8.76    	0.00    	-       	
2.75    	-0.59   	0.13    	10.25   	-0.01   	1.95    	8.76    	0.00    	-       	
2.77    	-0.58   	0.12    	10.23   	-0.01   	1.95    	8.76    	3.03    	-       	
2.80    	-0.61   	0.12    	10.20   	-0.01   	1.95    	8.76    	2.98    	-       	
2.82    	-0.67   	0.12    	10.24   	-0.01   	1.95    	8.76    	2.98    	-       	
2.84    	-0.66   	0.13    	10.25   	-0.01   	1.95    	8.76    	2.98    	-       	
2.86    	-0.64   	0.12    	10.22   	-0.01   	1.95    	8.76    	2.96    	-       	
2.89    	-0.61   	0.12    	10.24   	-0.01   	1.95    	8.76    	2.87    	-       	
2.91    	-0.60   	0.12    	10.22   	-0.01   	1.95    	8.76    	2.91    	-       	
2.93    	-0.60   	0.12    	10.22   	-0.01   	1.95    	8.76    	2.95    	-       	
2.95    	-0.60   	0.12    	10.20   	-0.01   	1.95    	8.76    	3.06    	-       	
2.97    	-0.63   	0.12    	10.22   	-0.01   	1.95    	8.76    	3.02    	-       	
3.00    	-0.48   	0.12    	10.25   	-0.01   	1.95    	8.76    	3.07    	-       	
3.02    	-0.37   	0.13    	10.28   	-0.01   	1.95    	8.76    	3.05    	-       	
3.04    	-0.36   	0.13    	10.28   	-0.01   	1.95    	8.76    	3.01    	-       	
3.06    	-0.35   	0.13    	10.27   	-0.01   	1.95    	8.76    	3.02    	-       	
3.08    	-0.34   	0.13    	10.27   	-0.01   	1.95    	8.76    	3.07    	-       	
3.11    	-0.32   	0.12    	10.26   	-0.01   	1.95    	8.76    	3.06    	-       	
3.13    	-0.32   	0.13    	10.27   	-0.01   	1.95    	8.76    	3.08    	-       	
3.15    	-0.32   	0.12    	10.26   	-0.01   	1.95    	8.76    	3.09    	-       	
3.17    	-0.31   	0.12    	10.25   	-0.01   	1.95    	8.76    	3.15    	-       	
3.20    	-0.27   	0.12    	10.24   	-0.01   	1.95    	8.76    	3.11    	-       	
3.22    	0.04    	0.13    	10.22   	-0.01   	1.95    	8.76    	3.05    	-       	
3.23    	0.15    	0.13    	10.22   	-0.01   	1.95    	8.76    	3.11    	-       	
3.25    	0.26    	0.13    	10.18   	-0.00   	1.95    	8.76    	3.15    	-       	
3.27    	0.24    	0.13    	10.20   	-0.00   	1.95    	8.76    	3.12    	-       	
3.29    	0.25    	0.13    	10.21   	-0.00   	1.95    	8.76    	3.14    	-       	
3.30    	0.25    	0.13    	10.20   	-0.00   	1.95    	8.76    	3.09    	-       	
3.31    	0.24    	0.13    	10.21   	0.00    	1.96    	8.76    	3.14    	-       	
3.33    	0.24    	0.13    	10.20   	0.00    	1.96    	8.76    	3.09    	-       	
3.35    	0.23    	0.13    	10.20   	0.00    	1.96    	8.76    	3.02    	-       	
3.37    	0.20    	0.13    	10.16   	0.00    	1.96    	8.76    	3.00    	-       	
3.39    	0.19    	0.13    	10.17   	0.00    	1.96    	8.76    	3.04    	-       	
3.40    	0.19    	0.13    	10.21   	0.00    	1.96    	8.76    	3.18    	-       	
3.42    	0.12    	0.13    	10.20   	0.00    	1.96    	8.76    	2.96    	-       	
3.44    	0.12    	0.13    	10.22   	0.00    	1.96    	8.76    	3.00    	-       	
3.45    	0.11    	0.13    	10.22   	0.00    	1.96    	8.76    	2.97    	-       	
3.47    	0.06    	0.13    	10.20   	0.00    	1.96    	8.76    	2.99    	-       	
3.49    	0.05    	0.13    	10.24   	0.00    	1.96    	8.76    	3.04    	-       	
3.51    	0.03    	0.13    	10.23   	0.00    	1.96    	8.76    	3.06    	-       	
3.52    	0.02    	0.13    	10.21   	0.00    	1.96    	8.76    	3.14    	-       	
3.54    	0.03    	0.13    	10.23   	0.00    	1.96    	8.76    	3.09    	-       	
3.56    	0.02    	0.13    	10.24   	0.00    	1.96    	8.76    	3.09    	-       	
3.57    	0.01    	0.13    	10.24   	0.00    	1.96    	8.76    	3.17    	-       	
3.59    	0.00    	0.13    	10.25   	0.00    	1.96    	8.76    	3.14    	-       	
3.61    	0.00    	0.13    	10.25   	0.00    	1.96    	8.76    	3.18    	-       	
3.63    	0.02    	0.13    	10.27   	0.00    	1.96    	8.75    	3.22    	-       	
3.64    	-0.02   	0.12    	10.25   	0.00    	1.97    	8.75    	3.08    	-       	
3.66    	-0.02   	0.13    	10.28   	0.00    	1.97    	8.75    	0.00    	-       	
3.68    	-0.02   	0.13    	10.29   	0.00    	1.97    	8.75    	0.00    	-       	
3.70    	-0.02   	0.13    	10.31   	0.01    	1.97    	8.75    	0.00    	-       	
3.72    	-0.02   	0.13    	10.33   	0.01    	1.97    	8.75    	0.00    	-       	
3.75    	-0.01   	0.13    	10.34   	0.01    	1.97    	8.75    	0.00    	-       	
3.76    	-0.01   	0.13    	10.34   	0.01    	1.97    	8.75    	0.00    	-       	
3.78    	-0.01   	0.13    	10.35   	0.01    	1.97    	8.75    	0.00    	-       	
3.79    	-0.00   	0.13    	10.36   	0.01    	1.97    	8.75    	0.00    	-       	
3.81    	0.00    	0.13    	10.36   	0.01    	1.97    	8.75    	0.00    	-       	
3.83    	0.00    	0.13    	10.36   	0.01    	1.97    	8.75    	0.00    	-       	
3.86    	-0.06   	0.12    	10.12   	0.01    	1.97    	8.75    	2.67    	-       	
3.87    	-0.11   	0.12    	10.17   	0.00    	1.97    	8.75    	2.89    	-       	
3.89    	-0.09   	0.12    	10.14   	0.00    	1.97    	8.75    	2.84    	-       	
3.90    	-0.09   	0.12    	10.16   	0.00    	1.97    	8.75    	2.82    	-       	
3.92    	-0.09   	0.12    	10.17   	0.00    	1.97    	8.75    	2.87    	-       	
3.94    	-0.08   	0.12    	10.17   	0.00    	1.97    	8.75    	2.81    	-       	
3.96    	-0.08   	0.12    	10.18   	0.00    	1.97    	8.75    	2.88    	-       	
3.97    	-0.09   	0.12    	10.18   	0.00    	1.97    	8.75    	3.07    	-       	
3.99    	-0.09   	0.12    	10.16   	0.00    	1.97    	8.75    	3.01    	-       	
4.01    	-0.10   	0.12    	10.19   	0.00    	1.97    	8.75    	3.07    	-       	
4.02    	-0.07   	0.12    	10.13   	0.00    	1.97    	8.75    	3.07    	-       	
4.04    	0.00    	0.12    	9.98    	0.00    	1.97    	8.75    	2.75    	-       	
4.06    	0.00    	0.12    	10.03   	0.00    	1.98    	8.75    	0.00    	-       	
4.08    	0.01    	0.12    	10.06   	0.00    	1.98    	8.75    	0.00    	-       	
4.10    	0.02    	0.12    	10.15   	0.00    	1.98    	8.75    	0.00    	-       	
4.11    	0.04    	0.13    	10.27   	0.00    	1.98    	8.75    	0.00    	-       	
4.13    	0.05    	0.13    	10.33   	0.00    	1.99    	8.75    	0.00    	-       	
4.15    	0.06    	0.13    	10.39   	0.00    	1.99    	8.75    	0.00    	-       	
4.17    	0.08    	0.13    	10.51   	0.01    	1.99    	8.75    	0.00    	-       	
4.18    	0.11    	0.14    	10.65   	0.01    	2.00    	8.75    	0.00    	-       	
4.19    	4.78    	0.94    	29.71   	0.01    	2.00    	8.75    	3.33    	-       	
4.21    	3.96    	0.57    	24.79   	0.01    	2.00    	8.75    	3.38    	-       	
4.23    	4.42    	0.62    	28.49   	0.01    	2.01    	8.75    	3.30    	-       	
4.24    	4.61    	0.69    	29.16   	0.01    	2.01    	8.75    	3.32    	-       	
4.26    	4.43    	0.65    	28.84   	0.01    	2.01    	8.75    	3.26    	-       	
4.27    	1.87    	0.51    	24.49   	0.01    	2.01    	8.75    	3.27    	-       	
4.30    	2.00    	0.54    	25.26   	0.01    	2.01    	8.75    	3.25    	-       	
4.31    	2.68    	0.71    	29.91   	0.01    	2.02    	8.75    	3.22    	-       	
4.33    	2.48    	0.77    	30.01   	0.01    	2.02    	8.74    	3.22    	-       	
4.34    	2.58    	1.91    	30.00   	0.01    	2.02    	8.74    	3.22    	-       	
4.36    	3.17    	3.40    	29.95   	0.01    	2.02    	8.74    	3.29    	-       	
4.38    	3.33    	3.41    	29.93   	0.01    	2.02    	8.74    	3.16    	-       	
4.39    	2.97    	3.26    	29.98   	0.02    	2.03    	8.74    	3.23    	-       	
4.42    	2.95    	3.27    	29.98   	0.02    	2.03    	8.74    	3.26    	-       	
4.43    	2.85    	3.42    	29.99   	0.02    	2.03    	8.74    	3.21    	-       	
4.45    	4.53    	3.61    	29.75   	0.02    	2.03    	8.74    	3.32    	-       	
4.46    	3.06    	3.40    	29.97   	0.02    	2.03    	8.74    	3.25    	-       	
4.48    	2.60    	3.79    	30.00   	0.02    	2.03    	8.73    	3.27    	-       	
4.50    	2.61    	4.25    	30.00   	0.02    	2.03    	8.73    	3.30    	-       	
4.52    	2.20    	5.65    	30.02   	0.02    	2.04    	8.73    	3.22    	-       	
4.53    	3.56    	5.70    	29.89   	0.02    	2.04    	8.73    	3.17    	-       	
4.55    	3.29    	5.83    	29.93   	0.02    	2.04    	8.73    	3.19    	-       	
4.57    	2.98    	5.98    	29.98   	0.02    	2.04    	8.73    	3.28    	-       	
4.59    	2.45    	5.90    	30.01   	0.02    	2.04    	8.73    	3.24    	-       	
4.60    	2.55    	6.15    	30.00   	0.02    	2.04    	8.72    	3.23    	-       	
4.61    	3.99    	6.03    	29.83   	0.02    	2.04    	8.72    	3.20    	-       	
4.63    	3.94    	5.99    	29.84   	0.02    	2.04    	8.72    	3.16    	-       	
4.65    	3.05    	6.00    	29.97   	0.02    	2.04    	8.72    	3.11    	-       	
4.67    	2.19    	5.93    	30.02   	0.02    	2.05    	8.72    	3.20    	-       	
4.69    	2.03    	6.05    	30.03   	0.02    	2.05    	8.72    	3.22    	-       	
4.71    	2.14    	5.89    	30.02   	0.02    	2.05    	8.72    	3.21    	-       	
4.72    	2.32    	5.89    	30.01   	0.02    	2.05    	8.72    	3.20    	-       	
4.74    	3.37    	5.79    	29.92   	0.02    	2.05    	8.72    	3.25    	-       	
4.76    	3.79    	5.59    	29.86   	0.02    	2.05    	8.72    	3.23    	-       	
4.77    	2.31    	5.83    	30.02   	0.02    	2.05    	8.71    	3.20    	-       	
4.79    	1.72    	5.57    	30.04   	0.02    	2.05    	8.71    	3.16    	-       	
4.81    	1.27    	3.79    	30.07   	0.02    	2.05    	8.71    	3.16    	-       	
4.83    	0.49    	0.95    	30.10   	0.02    	2.05    	8.71    	3.10    	-       	
4.85    	-0.15   	0.37    	19.61   	0.02    	2.05    	8.71    	3.20    	-       	
4.86    	0.33    	0.38    	19.54   	0.02    	2.05    	8.71    	3.22    	-       	
4.88    	0.35    	0.36    	18.87   	0.02    	2.04    	8.71    	3.25    	-       	
4.89    	0.06    	0.36    	19.06   	0.02    	2.04    	8.71    	3.22    	-       	
4.91    	-0.02   	0.33    	18.27   	0.02    	2.04    	8.71    	3.30    	-       	
4.93    	-0.10   	0.36    	18.95   	0.02    	2.04    	8.71    	3.28    	-       	
4.94    	-0.01   	0.34    	18.42   	0.02    	2.04    	8.71    	3.19    	-       	
4.96    	0.09    	0.34    	18.41   	0.02    	2.04    	8.72    	3.32    	-       	
4.97    	-0.02   	0.35    	18.60   	0.02    	2.04    	8.72    	3.31    	-       	
4.99    	0.13    	0.37    	19.56   	0.02    	2.04    	8.72    	3.29    	-       	
5.00    	0.00    	0.37    	19.27   	0.02    	2.03    	8.72    	3.30    	-       	
5.02    	0.01    	0.36    	18.98   	0.01    	2.03    	8.72    	3.29    	-       	
5.04    	0.04    	0.37    	19.25   	0.01    	2.03    	8.72    	3.30    	-       	
5.06    	0.24    	0.37    	19.04   	0.01    	2.03    	8.72    	3.20    	-       	
5.08    	0.14    	0.35    	18.43   	0.01    	2.03    	8.72    	3.31    	-       	
5.09    	0.13    	0.37    	19.12   	0.01    	2.02    	8.72    	3.24    	-       	
5.12    	-0.37   	0.37    	19.30   	0.01    	2.02    	8.72    	3.62    	-       	
5.13    	-0.45   	0.30    	17.34   	0.01    	2.02    	8.72    	0.00    	-       	
5.14    	-0.48   	0.28    	16.47   	0.00    	2.01    	8.72    	0.00    	-       	
5.16    	-0.55   	0.25    	15.10   	0.00    	2.01    	8.72    	0.00    	-       	
5.18    	-0.58   	0.24    	14.55   	-0.00   	2.01    	8.73    	0.00    	-       	
5.19    	-0.65   	0.23    	13.64   	-0.00   	2.00    	8.73    	0.00    	-       	
5.21    	-0.68   	0.23    	13.26   	-0.01   	2.00    	8.73    	0.00    	-       	
5.22    	-0.72   	0.22    	12.94   	-0.01   	2.00    	8.73    	0.00    	-       	
5.24    	-0.78   	0.22    	12.44   	-0.01   	1.99    	8.73    	0.00    	-       	
5.27    	-0.84   	0.13    	10.32   	-0.01   	1.99    	8.73    	3.49    	-       	
5.29    	-0.90   	0.13    	10.33   	-0.02   	1.98    	8.73    	3.53    	-       	
5.31    	-0.85   	0.13    	10.57   	-0.02   	1.98    	8.73    	3.57    	-       	
5.33    	-0.87   	0.13    	10.59   	-0.02   	1.98    	8.73    	3.37    	-       	
5.34    	-0.90   	0.13    	10.57   	-0.03   	1.98    	8.73    	3.56    	-       	
5.36    	-0.84   	0.13    	10.46   	-0.03   	1.98    	8.73    	3.44    	-       	
5.38    	-0.87   	0.13    	10.55   	-0.03   	1.98    	8.73    	3.49    	-       	
5.40    	-0.89   	0.13    	10.67   	-0.03   	1.98    	8.72    	3.48    	-       	
5.41    	-0.90   	0.14    	10.73   	-0.03   	1.98    	8.72    	3.58    	-       	
5.43    	-0.92   	0.14    	10.78   	-0.04   	1.98    	8.72    	3.61    	-       	
5.44    	-0.90   	0.14    	10.82   	-0.04   	1.98    	8.72    	3.61    	-       	
5.46    	-0.94   	0.14    	10.84   	-0.04   	1.98    	8.72    	3.55    	-       	
5.48    	-0.95   	0.14    	10.89   	-0.04   	1.98    	8.72    	3.57    	-       	
5.49    	-1.10   	0.15    	11.18   	-0.04   	1.98    	8.72    	3.53    	-       	
5.51    	-1.17   	0.15    	11.39   	-0.04   	1.98    	8.73    	3.43    	-       	
5.52    	-1.29   	0.16    	11.73   	-0.04   	1.99    	8.73    	0.00    	-       	
5.55    	-1.37   	0.19    	11.94   	-0.04   	1.99    	8.73    	0.00    	-       	
5.57    	-1.68   	0.24    	12.70   	-0.04   	2.00    	8.73    	0.00    	-       	
5.58    	-2.24   	0.26    	13.95   	-0.04   	2.01    	8.73    	0.00    	-       	
5.60    	0.00    	0.00    	0.00    	-0.04   	2.02    	8.73    	3.74    	-       	
5.61    	0.00    	0.00    	0.00    	-0.04   	2.02    	8.73    	3.87    	-       	
5.63    	0.00    	0.00    	0.00    	-0.04   	2.03    	8.72    	3.80    	-       	
5.64    	-11.21  	10.77   	34.43   	-0.04   	2.03    	8.72    	3.74    	-       	
5.66    	0.00    	0.00    	0.00    	-0.04   	2.03    	8.72    	3.72    	-       	
5.68    	0.00    	0.00    	0.00    	-0.04   	2.03    	8.72    	3.66    	-       	
5.70    	0.00    	0.00    	0.00    	-0.03   	2.04    	8.72    	3.62    	-       	
5.72    	-11.43  	2.47    	27.87   	-0.03   	2.04    	8.71    	3.53    	-       	
5.74    	-11.26  	2.53    	27.93   	-0.03   	2.04    	8.71    	3.52    	-       	
5.76    	-11.07  	2.20    	28.00   	-0.03   	2.04    	8.71    	3.41    	-       	
5.77    	-9.51   	6.28    	28.56   	-0.03   	2.04    	8.71    	3.37    	-       	
5.79    	-9.20   	6.03    	28.67   	-0.03   	2.04    	8.71    	3.44    	-       	
5.81    	-9.46   	6.07    	28.58   	-0.03   	2.04    	8.71    	3.43    	-       	
5.83    	-9.65   	5.70    	28.51   	-0.04   	2.04    	8.71    	3.44    	-       	
5.84    	-10.36  	5.51    	28.25   	-0.04   	2.04    	8.71    	3.42    	-       	
5.86    	-14.56  	3.68    	26.36   	-0.04   	2.04    	8.70    	3.38    	-       	
5.88    	-16.34  	2.57    	25.29   	-0.04   	2.04    	8.70    	3.38    	-       	
5.90    	-16.89  	2.52    	24.94   	-0.04   	2.04    	8.70    	3.33    	-       	
5.91    	-19.09  	2.84    	23.30   	-0.04   	2.04    	8.70    	3.44    	-       	
5.92    	-18.49  	2.60    	23.75   	-0.05   	2.04    	8.70    	3.37    	-       	
5.94    	-18.54  	2.42    	23.72   	-0.05   	2.04    	8.70    	3.46    	-       	
5.96    	-18.65  	2.38    	23.63   	-0.05   	2.04    	8.70    	3.43    	-       	
5.97    	-17.83  	2.10    	24.25   	-0.05   	2.04    	8.70    	3.25    	-       	
5.99    	-18.72  	2.22    	23.58   	-0.06   	2.03    	8.70    	3.29    	-       	
6.01    	-16.90  	2.13    	24.93   	-0.06   	2.03    	8.70    	3.37    	-       	
6.03    	-16.53  	2.26    	25.18   	-0.06   	2.03    	8.69    	3.44    	-       	
6.04    	-16.68  	2.60    	25.09   	-0.06   	2.03    	8.69    	3.44    	-       	
6.06    	-16.67  	2.20    	25.09   	-0.06   	2.03    	8.69    	3.43    	-       	
6.07    	-17.92  	1.51    	24.17   	-0.07   	2.03    	8.69    	3.47    	-       	
6.09    	-19.45  	0.98    	22.50   	-0.07   	2.03    	8.69    	3.44    	-       	
6.11    	-19.30  	0.87    	22.30   	-0.07   	2.03    	8.69    	3.42    	-       	
6.12    	-19.71  	0.96    	22.20   	-0.07   	2.03    	8.69    	3.51    	-       	
6.14    	-19.70  	1.09    	22.62   	-0.07   	2.03    	8.69    	3.52    	-       	
6.16    	-19.78  	1.30    	22.68   	-0.07   	2.03    	8.69    	3.62    	-       	
6.17    	-19.65  	1.23    	22.80   	-0.07   	2.03    	8.69    	3.59    	-       	
6.19    	-19.71  	1.15    	22.75   	-0.07   	2.03    	8.69    	3.54    	-       	
6.20    	-19.43  	1.05    	22.75   	-0.07   	2.03    	8.69    	3.61    	-       	
6.21    	-19.53  	1.16    	22.91   	-0.07   	2.03    	8.69    	3.60    	-       	
6.23    	-21.07  	1.53    	21.51   	-0.07   	2.03    	8.69    	3.60    	-       	
6.25    	-20.42  	1.29    	22.10   	-0.07   	2.03    	8.69    	3.59    	-       	
